customer_id,period,age_group,brand,budget_range,purchase_channel,days_to_decide,payment_method,influencer_type,accessories_bought,purchase_amount
C001,baseline,26-35,Samsung,mid-range,electronics_store,12,full_payment,tech_review,1,28500
C002,baseline,18-25,Xiaomi,budget,online,5,EMI_12,social_media,0,11999
C003,baseline,36-45,Apple,premium,brand_store,21,credit_card,word_of_mouth,1,79900
C004,baseline,26-35,Samsung,mid-range,electronics_store,8,EMI_6,tech_review,1,24999
C005,baseline,46-55,OnePlus,mid-range,electronics_store,18,full_payment,word_of_mouth,0,32000
C006,baseline,18-25,Xiaomi,budget,online,3,EMI_12,social_media,0,9999
C007,baseline,36-45,Samsung,premium,electronics_store,25,full_payment,tech_review,1,55000
C008,baseline,26-35,Vivo,mid-range,telecom_store,10,EMI_6,celebrity_ad,0,21000
C009,baseline,18-25,Xiaomi,budget,online,4,EMI_12,social_media,1,13500
C010,baseline,55+,Samsung,mid-range,electronics_store,30,full_payment,word_of_mouth,0,26000
C011,baseline,26-35,OnePlus,mid-range,electronics_store,14,full_payment,tech_review,1,29999
C012,baseline,18-25,Xiaomi,budget,online,2,EMI_12,social_media,0,8999
C013,baseline,36-45,Apple,flagship,brand_store,28,full_payment,word_of_mouth,1,129900
C014,baseline,46-55,Samsung,mid-range,electronics_store,20,full_payment,tech_review,0,27500
C015,baseline,26-35,Vivo,budget,online,6,EMI_6,social_media,0,14999
C016,baseline,18-25,Xiaomi,budget,online,3,EMI_12,social_media,1,10999
C017,baseline,36-45,Samsung,premium,electronics_store,22,EMI_12,tech_review,1,48000
C018,baseline,26-35,OnePlus,mid-range,electronics_store,11,full_payment,tech_review,0,33000
C019,baseline,55+,Apple,flagship,brand_store,35,full_payment,word_of_mouth,0,119900
C020,baseline,46-55,Samsung,mid-range,telecom_store,17,EMI_6,celebrity_ad,0,25000
C021,baseline,18-25,Xiaomi,budget,online,4,EMI_12,social_media,1,12499
C022,baseline,26-35,Samsung,mid-range,electronics_store,9,full_payment,tech_review,1,30000
C023,baseline,36-45,OnePlus,premium,electronics_store,19,full_payment,tech_review,0,44999
C024,baseline,18-25,Vivo,budget,online,5,EMI_12,social_media,0,11000
C025,baseline,46-55,Samsung,mid-range,electronics_store,16,full_payment,word_of_mouth,0,28000
C026,baseline,26-35,Xiaomi,mid-range,online,7,EMI_6,social_media,1,18999
C027,baseline,36-45,Apple,premium,brand_store,24,credit_card,word_of_mouth,1,84900
C028,baseline,18-25,Samsung,budget,electronics_store,8,EMI_12,celebrity_ad,0,15999
C029,baseline,55+,Samsung,mid-range,electronics_store,32,full_payment,tech_review,0,24999
C030,baseline,26-35,OnePlus,mid-range,electronics_store,13,full_payment,tech_review,1,27999
C031,baseline,18-25,Xiaomi,budget,online,2,EMI_12,social_media,0,9499
C032,baseline,36-45,Samsung,premium,electronics_store,26,EMI_24,tech_review,1,52000
C033,baseline,46-55,Vivo,mid-range,telecom_store,15,full_payment,celebrity_ad,0,19999
C034,baseline,26-35,Apple,premium,brand_store,20,full_payment,word_of_mouth,1,76900
C035,baseline,18-25,Xiaomi,budget,online,3,EMI_12,social_media,1,11499
C036,baseline,36-45,Samsung,mid-range,electronics_store,18,full_payment,tech_review,0,29000
C037,baseline,55+,OnePlus,mid-range,electronics_store,28,full_payment,word_of_mouth,0,31000
C038,baseline,26-35,Xiaomi,mid-range,online,6,EMI_6,social_media,1,17999
C039,baseline,18-25,Samsung,budget,electronics_store,7,EMI_12,celebrity_ad,0,14999
C040,baseline,46-55,Apple,flagship,brand_store,30,full_payment,word_of_mouth,0,109900
C041,baseline,26-35,OnePlus,mid-range,electronics_store,12,full_payment,tech_review,1,34999
C042,baseline,18-25,Xiaomi,budget,online,4,EMI_12,social_media,0,10499
C043,baseline,36-45,Samsung,premium,electronics_store,23,EMI_12,tech_review,1,45000
C044,baseline,26-35,Vivo,mid-range,telecom_store,9,EMI_6,celebrity_ad,0,22000
C045,baseline,55+,Samsung,mid-range,electronics_store,27,full_payment,word_of_mouth,0,25999
C046,baseline,18-25,Xiaomi,budget,online,3,EMI_12,social_media,1,12000
C047,baseline,36-45,Apple,premium,brand_store,22,credit_card,word_of_mouth,1,81900
C048,baseline,46-55,Samsung,mid-range,electronics_store,14,full_payment,tech_review,0,27000
C049,baseline,26-35,OnePlus,premium,electronics_store,16,full_payment,tech_review,0,41000
C050,baseline,18-25,Vivo,budget,online,5,EMI_12,social_media,0,13000
C051,baseline,26-35,Samsung,mid-range,electronics_store,10,full_payment,tech_review,1,31000
C052,baseline,36-45,Xiaomi,mid-range,online,8,EMI_6,social_media,0,16999
C053,baseline,18-25,Samsung,budget,electronics_store,6,EMI_12,celebrity_ad,1,15499
C054,baseline,55+,OnePlus,mid-range,electronics_store,31,full_payment,word_of_mouth,0,28999
C055,baseline,46-55,Apple,flagship,brand_store,35,full_payment,word_of_mouth,1,124900
C056,baseline,26-35,Xiaomi,mid-range,online,7,EMI_6,social_media,1,19499
C057,baseline,18-25,Xiaomi,budget,online,2,EMI_12,social_media,0,9999
C058,baseline,36-45,Samsung,premium,electronics_store,21,EMI_24,tech_review,1,50000
C059,baseline,26-35,Vivo,mid-range,telecom_store,11,EMI_6,celebrity_ad,0,20500
C060,baseline,46-55,Samsung,mid-range,electronics_store,19,full_payment,word_of_mouth,0,26500
C061,baseline,18-25,Xiaomi,budget,online,4,EMI_12,social_media,1,11999
C062,baseline,36-45,Apple,flagship,brand_store,29,full_payment,word_of_mouth,1,119900
C063,baseline,26-35,OnePlus,mid-range,electronics_store,13,full_payment,tech_review,0,30500
C064,baseline,55+,Samsung,mid-range,electronics_store,33,full_payment,tech_review,0,27000
C065,baseline,18-25,Vivo,budget,online,5,EMI_12,social_media,0,12499
C066,baseline,26-35,Samsung,premium,electronics_store,17,EMI_12,tech_review,1,46000
C067,baseline,36-45,Xiaomi,mid-range,online,9,EMI_6,social_media,0,17499
C068,baseline,46-55,OnePlus,mid-range,electronics_store,22,full_payment,word_of_mouth,0,32500
