product_id,product_name,manufacturing_cost,advertisement_cost,influencer_cost,discount_percent,sales_price
P001,Smart Mixer,4200,1200,800,10,6200
P002,Ultra Fan,3100,900,650,12,4800
P003,Eco Bottle,450,300,200,5,850
P004,Steel Cooker,2200,750,500,15,3900
P005,Air Cooler,6800,1800,1200,18,9800
P006,LED Lamp,350,250,150,8,700
P007,Kitchen Grinder,5200,1400,900,20,7600
P008,Smart Watch,4100,2000,1500,10,8900
P009,Office Chair,2700,850,600,12,4700
P010,Gaming Mouse,950,450,350,5,1800
P011,Bluetooth Speaker,1800,700,450,15,3400
P012,Vacuum Cleaner,6200,1700,1000,20,9300
P013,Water Purifier,7500,2100,1600,10,11800
P014,Laptop Stand,650,280,220,5,1300
P015,Electric Iron,1450,500,300,8,2600
P016,Coffee Maker,3400,1200,850,12,5900
P017,Smart TV,18500,5200,4100,18,29500
P018,Portable AC,12500,3200,2500,15,19800
P019,Fitness Band,1600,600,450,10,3200
P020,Hair Dryer,980,350,220,5,1750
P021,Juicer Mixer,3900,1150,750,12,6500
P022,Wireless Earbuds,2200,980,720,10,4600
P023,Table Lamp,480,220,180,5,950
P024,Smart Refrigerator,28500,7200,5800,20,45500
P025,Microwave Oven,8900,2500,1800,15,14200
P026,Induction Stove,2700,800,500,10,4600
P027,Electric Kettle,850,320,240,8,1650
P028,Air Fryer,5400,1450,980,12,8400
P029,Printer,4300,1250,920,10,7100
P030,Router,1250,420,300,5,2400
P031,Projector,9500,2800,2100,15,15600
P032,Drone Camera,14200,3900,3200,18,23500
P033,Smartphone,16500,6100,5000,20,28900
P034,Power Bank,750,280,200,5,1450
P035,USB Hub,350,180,120,5,700
P036,Dishwasher,13500,3600,2700,15,21800
P037,Ceiling Fan,2100,650,420,10,3600
P038,Sound Bar,3200,1100,850,12,5600
P039,Water Heater,4700,1350,980,15,7600
P040,Digital Camera,11800,3100,2500,10,19200
P041,Smart Door Lock,6800,1900,1450,12,10800
P042,Electric Scooter,35500,8500,7200,18,58500
P043,LED Monitor,7200,2100,1500,10,11900
P044,Keyboard,850,300,180,5,1650
P045,Washing Machine,19800,5400,4300,20,32500
P046,Rice Cooker,1850,620,450,10,3200
P047,Portable Speaker,1450,520,350,8,2700
P048,Smart Glasses,12800,3400,2600,15,20500
P049,Tablet,9800,2700,2100,12,16500
P050,Security Camera,4200,1300,950,10,7200
