email_id,subject,body,label
73,Welcome to the onboarding session,"The weekly report includes progress, risks, and upcoming deliverables.",not_spam
50,You have been selected for a bonus,You are eligible for a free gift card. Pay a small processing fee to receive it today.,spam
3,Final notice: verify your details,You are eligible for a free gift card. Pay a small processing fee to receive it today.,spam
79,Interview schedule details,"Please find the meeting agenda attached. We will discuss project updates, blockers, and next steps.",not_spam
21,Act now to unlock your reward,This exclusive deal is available only for the next few hours. Click now.,spam
84,Team lunch confirmation,Your appointment has been confirmed. Please bring the required documents.,not_spam
20,Urgent: Your account will be suspended,Congratulations! Your email was selected in our lucky draw. Reply with your phone number to claim.,spam
67,Server maintenance notification,Attached is the invoice for the completed services. Kindly review and confirm receipt.,not_spam
41,Cheap medicine available online,No experience needed. Start earning thousands per week from home with our proven system.,spam
40,Special discount expires tonight,Your loan has been pre-approved. Send your personal details to receive instant payment.,spam
65,Project meeting agenda for Monday,Attached is the invoice for the completed services. Kindly review and confirm receipt.,not_spam
33,Your payment is pending,Congratulations! Your email was selected in our lucky draw. Reply with your phone number to claim.,spam
39,Lowest loan rates approved instantly,Your refund is pending. Verify your account information to release the amount.,spam
82,Invoice for April services,The training session will begin at 10 AM. Please join five minutes early.,not_spam
24,Urgent: Your account will be suspended,Invest now and get guaranteed returns with zero risk. Limited seats available.,spam
2,You have been selected for a bonus,No experience needed. Start earning thousands per week from home with our proven system.,spam
19,Claim your free gift card now,Invest now and get guaranteed returns with zero risk. Limited seats available.,spam
57,Interview schedule details,Attached is the invoice for the completed services. Kindly review and confirm receipt.,not_spam
49,Your payment is pending,You are eligible for a free gift card. Pay a small processing fee to receive it today.,spam
99,Code review request,The client call summary is attached for your reference and follow-up actions.,not_spam
93,Quarterly planning notes,Your appointment has been confirmed. Please bring the required documents.,not_spam
22,You have been selected for a bonus,Click the link immediately to claim your reward. This offer expires soon and only selected users qualify.,spam
72,Payment receipt attached,Attached is the invoice for the completed services. Kindly review and confirm receipt.,not_spam
23,Your payment is pending,Buy medicines at very low prices without prescription. Order today for fast delivery.,spam
38,Cheap medicine available online,No experience needed. Start earning thousands per week from home with our proven system.,spam
92,Welcome to the onboarding session,Please review the document and share your approval or comments by Friday.,not_spam
15,Lowest loan rates approved instantly,Invest now and get guaranteed returns with zero risk. Limited seats available.,spam
51,Code review request,"The weekly report includes progress, risks, and upcoming deliverables.",not_spam
37,Double your income this week,You are eligible for a free gift card. Pay a small processing fee to receive it today.,spam
54,Client call summary,Please review the document and share your approval or comments by Friday.,not_spam
58,Invoice for April services,Attached is the invoice for the completed services. Kindly review and confirm receipt.,not_spam
34,Lowest loan rates approved instantly,Congratulations! Your email was selected in our lucky draw. Reply with your phone number to claim.,spam
45,You have been selected for a bonus,We noticed unusual activity. Confirm your password and banking details now to avoid account suspension.,spam
77,Payment receipt attached,"Please find the meeting agenda attached. We will discuss project updates, blockers, and next steps.",not_spam
47,Free vacation package waiting,No experience needed. Start earning thousands per week from home with our proven system.,spam
48,Exclusive crypto investment opportunity,Invest now and get guaranteed returns with zero risk. Limited seats available.,spam
26,Get rich with this simple method,This exclusive deal is available only for the next few hours. Click now.,spam
64,Appointment confirmation,"The weekly report includes progress, risks, and upcoming deliverables.",not_spam
90,Workshop registration confirmed,The training session will begin at 10 AM. Please join five minutes early.,not_spam
80,Updated training schedule,Thank you for attending the meeting. Below are the key action items and owners.,not_spam
27,Act now to unlock your reward,This exclusive deal is available only for the next few hours. Click now.,spam
11,Earn money from home today,Buy medicines at very low prices without prescription. Order today for fast delivery.,spam
71,Payment receipt attached,This is a reminder to submit your timesheet before the end of the day.,not_spam
6,Important security alert,Click the link immediately to claim your reward. This offer expires soon and only selected users qualify.,spam
1,Urgent: Your account will be suspended,Click the link immediately to claim your reward. This offer expires soon and only selected users qualify.,spam
85,Team lunch confirmation,"The weekly report includes progress, risks, and upcoming deliverables.",not_spam
42,Free vacation package waiting,Click the link immediately to claim your reward. This offer expires soon and only selected users qualify.,spam
4,Urgent: Your account will be suspended,Buy medicines at very low prices without prescription. Order today for fast delivery.,spam
69,Monthly performance report,Your appointment has been confirmed. Please bring the required documents.,not_spam
89,Payment receipt attached,The client call summary is attached for your reference and follow-up actions.,not_spam
59,Follow-up on customer feedback,This is a reminder to submit your timesheet before the end of the day.,not_spam
94,Payment receipt attached,Your appointment has been confirmed. Please bring the required documents.,not_spam
87,Interview schedule details,"The weekly report includes progress, risks, and upcoming deliverables.",not_spam
96,Code review request,Attached is the invoice for the completed services. Kindly review and confirm receipt.,not_spam
18,Free vacation package waiting,We noticed unusual activity. Confirm your password and banking details now to avoid account suspension.,spam
12,Important security alert,No experience needed. Start earning thousands per week from home with our proven system.,spam
88,Monthly performance report,The server maintenance is scheduled for Saturday night. Services may be unavailable for two hours.,not_spam
95,Updated training schedule,The training session will begin at 10 AM. Please join five minutes early.,not_spam
29,Limited time offer just for you,No experience needed. Start earning thousands per week from home with our proven system.,spam
35,Act now to unlock your reward,No experience needed. Start earning thousands per week from home with our proven system.,spam
62,Request for document approval,The client call summary is attached for your reference and follow-up actions.,not_spam
68,Welcome to the onboarding session,Please review the document and share your approval or comments by Friday.,not_spam
16,Free vacation package waiting,Your loan has been pre-approved. Send your personal details to receive instant payment.,spam
14,You have been selected for a bonus,Click the link immediately to claim your reward. This offer expires soon and only selected users qualify.,spam
44,Free vacation package waiting,Invest now and get guaranteed returns with zero risk. Limited seats available.,spam
52,New policy document shared,The server maintenance is scheduled for Saturday night. Services may be unavailable for two hours.,not_spam
97,Server maintenance notification,"Please find the meeting agenda attached. We will discuss project updates, blockers, and next steps.",not_spam
75,Follow-up on customer feedback,Thank you for attending the meeting. Below are the key action items and owners.,not_spam
7,Congratulations! You won a cash prize,We noticed unusual activity. Confirm your password and banking details now to avoid account suspension.,spam
60,Workshop registration confirmed,The client call summary is attached for your reference and follow-up actions.,not_spam
78,Training material for tomorrow,Thank you for attending the meeting. Below are the key action items and owners.,not_spam
55,Quarterly planning notes,The training session will begin at 10 AM. Please join five minutes early.,not_spam
46,Earn money from home today,This exclusive deal is available only for the next few hours. Click now.,spam
56,Follow-up on customer feedback,"The weekly report includes progress, risks, and upcoming deliverables.",not_spam
76,Monthly performance report,"The weekly report includes progress, risks, and upcoming deliverables.",not_spam
13,Your payment is pending,This exclusive deal is available only for the next few hours. Click now.,spam
25,Claim your free gift card now,Buy medicines at very low prices without prescription. Order today for fast delivery.,spam
53,Client call summary,Please review the document and share your approval or comments by Friday.,not_spam
98,Client call summary,"The weekly report includes progress, risks, and upcoming deliverables.",not_spam
32,Special discount expires tonight,Your loan has been pre-approved. Send your personal details to receive instant payment.,spam
61,Team lunch confirmation,Please review the document and share your approval or comments by Friday.,not_spam
83,Client call summary,Attached is the invoice for the completed services. Kindly review and confirm receipt.,not_spam
74,Training material for tomorrow,The training session will begin at 10 AM. Please join five minutes early.,not_spam
17,Winner selected for exclusive reward,No experience needed. Start earning thousands per week from home with our proven system.,spam
70,Project meeting agenda for Monday,The server maintenance is scheduled for Saturday night. Services may be unavailable for two hours.,not_spam
28,Earn money from home today,We noticed unusual activity. Confirm your password and banking details now to avoid account suspension.,spam
63,Weekly status update,"The weekly report includes progress, risks, and upcoming deliverables.",not_spam
86,Follow-up on customer feedback,This is a reminder to submit your timesheet before the end of the day.,not_spam
36,You have been selected for a bonus,We noticed unusual activity. Confirm your password and banking details now to avoid account suspension.,spam
31,Final notice: verify your details,We noticed unusual activity. Confirm your password and banking details now to avoid account suspension.,spam
66,New policy document shared,The server maintenance is scheduled for Saturday night. Services may be unavailable for two hours.,not_spam
